Click the button to become a Seller,انقر فوق الزر لتصبح البائع
"Example: Insert landofcoder,url shop will",مثال: إدراج landofcoder، متجر رابط الإرادة
"I
						agree the  Terms and Conditions","أنا
توافق على الشروط والأحكام"
Admin Approval is required. Please wait until admin confirms your seller account.,مطلوب مشرف الموافقة. يرجى الانتظار حتى يؤكد المشرف حساب البائع الخاص.
Returns Policies,عودة السياسات
Shipping Policies,الشحن السياسات
Edit Profile Information,معلومات الملف تحرير
Save Profile,احفظ الملف
Twitter ID,تويتر ID
Facebook ID,الفيسبوك ID
Instagram ID,إينستاجرام ID
Google Plus ID,جوجل بلس ID
Youtube ID,يوتيوب ID
Vimeo ID,فيميو ID
Pinterest ID,بينتيريست ID
Rating(s),تصنيف (ق)
Registered Sellers,البائعين المسجلين
"If you have an account, sign in with your email address.",إذا كان لديك حساب، تسجيل الدخول باستخدام عنوان البريد الإلكتروني الخاص بك.
Login,تسجيل الدخول
Forgot Your Password?,نسيت رقمك السري؟
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.",إنشاء حساب له فوائد عديدة: تحقق من أسرع، والحفاظ على أكثر من عنوان واحد، وتتبع أوامر وأكثر من ذلك.
Customer ratings,تصنيفات العملاء
star,نجمة
Write Your Own Review,إرسال مراجعتك
You're rating,كنت تقييم
How do you rate this seller,كيف تقيم هذا البائع
Value,القيمة
Quality,جودة
What's your nickname?,ما هو اسم الشهرة الخاص بك؟
What's your Email?,ما هو بريدك الإلكتروني؟
Summary of Your Rating,ملخص تقييمك
Let us know your thoughts,إعلامنا أفكارك
Submit Rating,إرسال التصويت
By,بواسطة
 Rating(s), تصنيف (ق)
We can't find sellers matching the selection.,لم نتمكن من العثور الباعة مطابقة مع الاختيارات.
Items,العناصر
of,من
%1 Item,٪ 1 تفاصيل
%1 Items,٪ 1 فرد
Previous,السابق
Next,التالى
This operation can take a long time,هذه العملية يمكن أن تستغرق وقتا طويلا
Collapse All,انهيار جميع
Expand All,توسيع الكل
Please confirm site switching. All data that hasn't been saved will be lost.,يرجى تحويل الموقع تأكيد. سيتم فقدان جميع البيانات التي لم يتم حفظها.
None,لا شيء
Use Default Value,استخدام القيمة الافتراضية
"Manage Titles (Size, Color, etc.)",إدارة العناوين (الحجم واللون، وما إلى ذلك)
Manage Options (Values of Your Attribute),إدارة خيارات (قيم السمة الخاصة بك)
Is Default,هو افتراضي
Sort Option,نوع الخيار
Double click on a group to rename it.,انقر مرتين على مجموعة لتسميته.
Unassigned Attributes,سمات غير المعينة
A name is required.,مطلوب اسم.
This group contains system attributes. Please move system attributes to another group and try again.,تحتوي هذه المجموعة سمات النظام. الرجاء نقل سمات النظام إلى مجموعة أخرى وحاول مرة أخرى.
Please enter a new group name.,يرجى إدخال اسم المجموعة الجديدة.
"An attribute group named ""/name/"" already exists"".","مجموعة سمة اسمه ""/ اسم /"" موجود بالفعل ""."
"Sorry, we're unable to complete this request.",عذرا، لكننا غير قادرين على إكمال هذا الطلب.
You can't remove attributes from this attribute set.,لا يمكنك إزالة السمات من هذه المجموعة السمة.
Empty,فارغة
Custom Options,خيارات مخصصة
This is a required option.,هذا هو الخيار المطلوب.
The field isn't complete.,حقل ليست كاملة.
Change,يتغيرون
Compatible file extensions to upload,ملحقات الملفات المتوافقة مع لتحميل
Maximum image width,عرض صورة الأقصى
Maximum image height,ارتفاع الصورة الحد الأقصى
Maximum number of characters:,الحد الأقصى لعدد الأحرف:
Quantity,كمية
start typing to search template,ابدأ الكتابة للبحث القالب
Product online,المنتج على الانترنت
Product offline,منتج حاليا
Product online status,حالة المنتج عبر الإنترنت
Advanced Inventory,جرد المتقدمة
Manage Stock,إدارة المخزون
Use Config Settings,استخدام إعدادات التكوين
Out-of-Stock Threshold,الخروج من الأسهم عتبة
Minimum Qty Allowed in Shopping Cart,الحد الأدنى من الكمية المسموح بها في سلة التسوق
Maximum Qty Allowed in Shopping Cart,أقصى الكمية المسموح بها في سلة التسوق
Qty Uses Decimals,الكمية يستخدم الكسور العشرية
Backorders,Backorders
Notify for Quantity Below,إبلاغ عن الكمية أدناه
Enable Qty Increments,تمكين الكمية الزيادات
Qty Increments,الكمية الزيادات
Stock Availability,الاسهم التوفر
In Stock,في المخزن
Out of Stock,إنتهى من المخزن
Add Product To Websites,إضافة مواقع المنتج ل
Remove Product From Websites,إزالة المنتج من مواقع
"To hide an item in catalog or search results, set the status to ""Disabled"".","لإخفاء عنصر في كتالوج أو نتائج البحث، تعيين الحالة إلى ""معطل""."
Step 2: Attribute Values,الخطوة 2: قيم السمة
Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.,تحديد القيم من كل سمة لتشمل في هذا المنتج. كل مزيج فريد من القيم يخلق المنتجات unigue SKU.
Sort Variations,الاختلافات ترتيب
Options,خيارات
Deselect All,الغاء تحديد الكل
Remove Attribute,إزالة السمة
Save Option,حفظ الخيار
Remove Option,إزالة الخيار
"Step 3: Bulk Images, Price and Quantity",الخطوة 3: السائبة الصور والسعر والكمية
Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.,واستنادا إلى التحديدات أن تنشأ٪ 1 منتجات جديدة. استخدم هذه الخطوة لتخصيص الصور والأسعار للمنتجات الجديدة.
Images,صور
Apply single set of images to all SKUs,تطبيق مجموعة واحدة من الصور لجميع طرازات
Apply unique images by attribute to each SKU,تطبيق صور فريدة من نوعها من قبل السمة إلى كل SKU
Skip image uploading at this time,تخطي صورة تحميل في هذا الوقت
Remove image,إزالة الصورة
Select attribute,حدد السمة
Select,تحديد
Apply single price to all SKUs,تطبيق سعر واحد لجميع طرازات
Apply unique prices by attribute to each SKU,تطبيق أسعار الفريدة التي السمة إلى كل SKU
Skip price at this time,تخطي السعر في هذا الوقت
Apply single quantity to each SKUs,تطبيق كمية واحدة لكل طرازات
Apply unique quantity by attribute to each SKU,تطبيق كمية الفريدة التي السمة إلى كل SKU
Skip quantity at this time,تخطي الكمية في هذا الوقت
Step 1: Select Attributes,الخطوة 1: تحديد سمات
Selected Attributes:,السمات المختارة:
Step 4: Summary,الخطوة 4: ملخص
We can't save custom-defined options for bundles with dynamic pricing.,ونحن لا يمكن حفظ خيارات محددة خصيصا حزم مع التسعير الديناميكي.
Delete Custom Option,حذف الخيار مخصص
Sort Custom Options,فرز خيارات مخصصة
Input Type,الإدخال نوع
%1 <span>x</span> %2 <span>px.</span>,٪ 1 <SPAN> س </ SPAN>٪ 2 <SPAN> بكسل. </ SPAN>
Sort Custom Option,فرز الخيار مخصص
Web Site,موقع الكتروني
Customer Group,مجموعة العملاء
Item Price,العنصر السعر
Action,عمل
and above,و ما فوق
Delete Tier,الفئة الحذف
Product In Websites,المنتج في مواقع
(Copy data from: %1),(نسخ البيانات من:٪ 1)
Add Video,إضافة فيديو
Delete video,فيديو حذف
Product Alerts,تنبيهات المنتج
Allow Multiple Boxes for Shipping,تسمح صناديق متعددة للشحن
Save success,حفظ النجاح
Marketplace - Module by,السوق - وحدة من قبل
Landofcoder,Landofcoder
View My Store,عرض متجر بلدي
Profile,الملف الشخصي
Log Out,تسجيل خروج
Upload Image Zip,تحميل صورة الرمز البريدي
Upload Images Zip,تحميل صور الرمز البريدي
Images Zip,صور الرمز البريدي
Credit Amount,الائتمان المبلغ
Total Sales,إجمالي المبيعات
Total Orders,مجموع الطلبات
Total Products,عدد المنتجات
Sales Report Day ,يوم تقرير مبيعات
Sales Report Month,تقرير مبيعات شهر
Sales Report Year,تقرير مبيعات السنة
Your top countries,أعلى بلدانكم
Earning amount from country countries,كسب مبلغ من بلدان البلاد
Total Order,من أجل الكاملة
Total Earning,مجموع الأرباح
Last Orders,مشاركة أوامر
Best Seller,الأكثر مبيعا
Most Viewed Products,المنتجات الأكثر مشاهدة
Order Date,تاريخ الطلب
Product,المنتج
Id,هوية شخصية
Amount,كمية
Seller Blance,البائع Blance
Order Design,أجل تصميم
Create At,إنشاء في
Billing Address,عنوان وصول الفواتير
Shipping Address,عنوان الشحن
<b>Order:</b> # %1,<ب> ترتيب: </ B> # 1٪
Order Status,حالة الطلب
Purchased From,تم شراؤها من
Account Information ,معلومات الحساب
Return to Stock,عودة إلى أسهم
Qty to Refund,الكمية لاسترداد الأموال
Tax Amount,قيمة الضريبة
Discount Amount,مقدار الخصم
Row Total,صف إجمالي
Admin Commission,اللجنة الادارية
Seller Total,البائع إجمالي
Ordered,أمر
Invoiced,مفوترة
Payment Methods,طرق الدفع
The order was placed using,وقد وضعت من اجل استخدام
Credit Memo Comments,مذكرة الائتمان تعليقات
Comment Text,نص التعليق
Order Totals,المجاميع ترتيب
Tax,ضريبة
Discount,خصم
Refund Shipping,استرداد شحن
Adjustment Refund,تعديل مبلغ معاد
Adjustment Fee,تعديل رسوم
Grand Total,المجموع الكلي
Append Comments,إلحاق تعليقات
Visible on Frontend,مرئية على الواجهة
Email Copy of Credit Memo,أرسل نسخة من مذكرة الائتمان
Refund Offline,برد غير متصل
Refund Online,برد على الانترنت
Refund,إعادة مال
Invoice Date,تاريخ الفاتورة
Bill to Name,مشروع قانون لاسم
Grand Total (Base),المجموع الكلي (قاعدة)
Grand Total (Purchased),المجموع الكلي (اشترى)
Bulk Actions,إجراءات جملة
Invoice Design,تصميم فاتورة
Export Pdf file,ملف التصدير قوات الدفاع الشعبي
<b>Invoice</b> # %1,<ب> الفاتورة </ B> # 1٪
Invoice Totals,المجاميع فاتورة
Shipping & Handling,شحن وتسليم
Seller Amount,البائع المبلغ
Date,تاريخ
Currency,عملة
Cancel Order,الغاء الطلب
Are you sure you want to cancel this order?,هل أنت متأكد أنك تريد إلغاء هذا النظام؟
Send Email,ارسل بريد الكتروني
Are you sure you want to send an order email to customer?,هل أنت متأكد أنك تريد إرسال رسالة بريد إلكتروني أجل العملاء؟
Are you sure you want to create invoice?,هل أنت متأكد أنك تريد إنشاء فاتورة؟
Credit Memo,ملاحظة ائتمانية
Are you sure you want to create credit memo for order?,هل أنت متأكد أنك تريد إنشاء مذكرة الائتمان لاجل؟
Ship,سفينة
Are you sure you want to create ship for order?,هل أنت متأكد أنك تريد إنشاء السفينة النظام؟
Item Status,حالة العنصر
Tax Percent,نسبة الضريبة
Shipped,شحنها
Track information,معلومات المسار
Shipped By,شحنها بواسطة
Tracking Number,أرقام التتبع
No shipping information available,أي معلومات الشحن المتاحة
Carrier,الناقل
Refund Total,برد إجمالي
Shipment,شحنة
Table Shipment,الجدول شحن
Ship Date,تاريخ الشحن
Order #,طلب #
Ship to Name,السفينة الى اسم
Total Quantity,الكمية الإجمالية
Shipment Design,شحنة التصميم
<b>Shipment</b> # %1,<ب> الشحن </ B> # 1٪
Shipping and Tracking Information,الشحن وتتبع المعلومات
Track this shipment,تتبع هذه الشحنة
Number,رقم
Add,إضافة
Items Shipped,البنود التي تم شحنها
Product Name,اسم المنتج
Qty Shipped,الكمية يشحن
Today's Sales,مبيعات اليوم
Today's Earnings,أرباح اليوم
Current Month's Sales,مبيعات شهر الحالي
Current Month's Earnings,الأرباح شهر الحالي
Sales Report,تقرير المبيعات
Browse to find or drag image here(Size 1240x400),استعرض للوصول إلى العثور على أو سحب صورة هنا (حجم 1240x400)
Browse to find or drag image here(Size 200x200),استعرض للوصول إلى العثور على أو سحب صورة هنا (حجم الصور 200x200)
Social Media,وسائل الاعلام الاجتماعية
Facebook Name,اسم الفيسبوك
Facebook Page ID,الفيسبوك ID الصفحة
Linkedin ID,تابعني على ID
Printerest ID,Printerest ID
Welcome,أهلا بك
Online,عبر الانترنت
Sender Name,اسم المرسل
Sender Email,البريد الإلكتروني المرسل
Post a Reply,اكتب ردا
Message History,تاريخ الرسالة
Sales,مبيعات
Manage Product,إدارة المنتج
Simple Product,بسيط المنتج
Virtual Product,الظاهري المنتج
Configurable Product,شكلي المنتج
Vacation Setting,إعداد عطلة
Mass Import/Export,كتلة الاستيراد / التصدير
Upload Image,تحميل الصور
 Withdrawal, انسحاب
You can withdraw up to,يمكنك سحب ما يصل الى
Min amount ,كمية دقيقة
Fee ,رسوم
Amount to withdraw,مبلغ للسحب
 email account, حساب البريد الإلكتروني
  Info,  معلومات
You do not have the minimum amount to withdraw,ليس لديك أدنى مبلغ للانسحاب
Nick Name,كنية
Rating,تقييم
Comment,تعليق
All Review,كل مراجعة
Author,مؤلف
Guest,زائر
Summary Rating,ملخص التقييم
Summary of Review,ملخص المراجعة
Vacation Status,الحالة عطلة
Turn ON,شغله
Turn OFF,يطفىء
Vacation Message,عطلة رسالة
Vacation Date From,تاريخ اجازة من
Vacation Date To,عطلة التاريخ إلى
Text display on button add to cart when seller on vacation,عرض النص على زر إضافة إلى السلة عندما البائع في إجازة
Select Date,حدد تاريخ
Withdrawal information,معلومات السحب
 Email Account, حساب البريد الإلكتروني
Net Amount,كمية الشبكة
Admin Message,المشرف رسالة
Withdrawal Request,طلب سحب
Your balance,رصيدك
Method,طريقة
Withdrawals History,سحب التاريخ
Total Amount Received,إجمالي المبلغ المتلقى
Created,خلقت
Store View:,عرض متجر:
Stores Configuration,تكوين مخازن
Please confirm scope switching. All data that hasn't been saved will be lost.,يرجى التبديل نطاق تأكيد. سيتم فقدان جميع البيانات التي لم يتم حفظها.
Insert Widget...,إدراج القطعة ...
We don't recognize or support this file extension type.,نحن لا نعترف أو دعم هذا الملف نوع التمديد.
Insert Variable...,إدراج متغير ...
Select All on This Page,اختار الكل في هذه الصفحة
Deselect All on This Page,إلغاء تحديد الكل في هذه الصفحة
Go to Details Page,الذهاب الى صفحة التفاصيل
We could not detect a size.,لم نتمكن من الكشف عن الحجم.
Image Detail,تفاصيل الصورة
Warning message,رسالة تحذير
New Product Review,استعراض المنتجات الجديدة
Here are the products you're about to create.,وهنا هي المنتجات التي كنت على وشك خلق.
Associated Products,المنتجات المرتبطة بها
You created these products for this configuration.,قمت بإنشائه هذه المنتجات لهذا التكوين.
Disassociated Products,نأت المنتجات
These products are not associated.,لا ترتبط هذه المنتجات.
Ok,حسنا
Add Products to New Option,إضافة المنتجات إلى الخيار الجديد
"Add Products to Option ""%1""","إضافة المنتجات إلى الخيار ""٪ 1"""
Video Error,خطأ الفيديو
Unknown video type,غير معروف نوع الفيديو
Invalid video url,رابط الفيديو غير صالح
Youtube API key is invalid,مفتاح API يوتيوب هو باطل
Video cant be shown due to the following reason: ,غير قادر على أن يظهر الفيديو للسبب التالي:
Video not found,فيديو لم يتم العثور
New Video,فيديو جديد
Edit Video,تحرير الفيديو
Images and Videos,صور وفيديو
Select...,تحديد...
Attributes,سمات
"Lof All - <a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>","LOF جميع - <a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace، Opencart Marketplace، الماجنتو 2 Extension، الحرة الماجنتو Extension، Opencart المتقدم Reports""> landofcoder.com </ أ >"
Market Place,المتجر
General Settings,الاعدادات العامة
Seller List Url,قائمة البائع رابط
Seller Url Prefix,البائع رابط البادئة
Seller Url Suffix,البائع رابط لاحقة
Rating Approval Required,تصنيف الموافقة المطلوبة
Seller Approval Required,البائع الموافقة المطلوبة
Seller Settings,إعدادات البائع
Need Admin Approval Product,تحتاج المسؤول الموافقة المنتج
Seller Commission(%),لجنة البائع (٪)
Enter global commission for sellers.If you don't using commission in http://yourdomain.com/admin/lofmarketplace/commission/index,أدخل اللجنة العالمية لsellers.If كنت لا تستخدم اللجنة في http://yourdomain.com/admin/lofmarketplace/commission/index
Sales Settings,إعدادات المبيعات
Can Send Email,يمكن إرسال البريد الإلكتروني
Email admin,البريد الإلكتروني المشرف
Can Create Ship,يمكن إنشاء السفن
Can Create Refund,يمكن إنشاء رد
Seller Panel,لوحة البائع
Favicon Icon,فافيكون أيقونة
Default Title,افتراضي عنوان
Header Icon,رأس أيقونة
Header Text,نص رأس
Footer Text,نص تذييل
Email Settings,إعدادات البريد الإلكتروني
Enable Send Email,تمكين إرسال البريد الإلكتروني
Email Sender,البريد الإلكتروني المرسل
Choose template for emailing customer,اختيار نموذج لمراسلة العملاء
Choose template for emailing seller,اختيار نموذج لمراسلة البائع
Choose template for email reply,اختيار قالب للرد البريد الإلكتروني
Choose email template for new rating,اختيار قالب البريد الإلكتروني للتصنيف الجديد
Choose email template for new order,اختيار قالب البريد الإلكتروني لنظام جديد
Choose email template for new invoice,اختيار قالب البريد الإلكتروني لفاتورة جديدة
Choose email template for new shipment,اختيار قالب البريد الإلكتروني لشحنة جديدة
Choose email template for new seller register,اختيار قالب البريد الإلكتروني لتسجيل بائع جديد
Choose email template for approve seller,اختيار قالب البريد الإلكتروني للموافقة البائع
Choose email template for unapprove seller,اختيار قالب البريد الإلكتروني للبائع إلغاء الموافقة
Choose email template for approve product,اختيار قالب البريد الإلكتروني للموافقة على المنتج
Choose email template for unapprove product,اختيار قالب البريد الإلكتروني للمنتج إلغاء الموافقة
Seller Info On Product View Page,معلومات البائع على المنتج عرض الصفحة
Enabled Seller Block,تمكين البائع بلوك
Show Seller Title,مشاهدة البائع عنوان
Show Seller Logo,مشاهدة البائع الشعار
Show Seller Name,مشاهدة اسم البائع
Show Seller Address,مشاهدة البائع عنوان
Show Seller Sales,مشاهدة البائع المبيعات
Show Seller Phone,مشاهدة البائع الهاتف
Show Seller Contact,مشاهدة البائع الاتصال
Text Contact,نص الاتصال
Seller List Page,قائمة البائع الصفحة
Number Seller Per Page,عدد البائع لكل صفحة
Empty to show all item,فارغة لعرض كل بند
SEO - Search Engine Optimization,SEO - محرك البحث الأمثل
Grid Layout,شبكة تخطيط
Number Column on Large Desktop,عدد الأعمدة على سطح المكتب كبير
Large devices Desktops (≥1200px),أجهزة الكمبيوتر المكتبية أجهزة كبيرة (≥1200px)
Number Column on Desktop,عدد الأعمدة على سطح المكتب
Medium devices Desktops (≥992px),الأجهزة المكتبية المتوسطة (≥992px)
Number Column on Tablets,عدد العمود على الأجهزة اللوحية
Small devices Tablets (≥768px),أجهزة لوحية صغيرة (≥768px)
Number Column on Phones,عدد العمود على الهواتف
Extra small devices Phones (<768px),المزيد من الأجهزة الصغيرة خلوية (<768px)
Group Page,المجموعة الصفحة
Seller Multi Shipping,بائع موضوع شحن
MarketPlace Seller List,السوق قائمة البائع
Get seller list,الحصول على قائمة البائع
Select Static Block,اختر ساكنة بلوك
Number of Seller to Display,عدد من البائع لعرض
Number Item per Column,البند رقم في العمود
Addtion Class,ادايشن الفئة
Carousel Layout,دائري تخطيط
Number Columns On Page (Phones),عدد الأعمدة في الصفحة (هواتف)
Show number items when screen size bellow 480px,مشاهدة عدد العناصر عند حجم الشاشة رفع الصوت عاليا 480px
Number Columns On Page (Phones to Small tablets),عدد الأعمدة في الصفحة (هواتف إلى أقراص صغيرة)
Show number items when screen size between 641px and 480px,إظهار عناصر الرقم عند حجم الشاشة بين 641px و480px
Number Columns On Page (Phones to tablets),عدد الأعمدة في الصفحة (هواتف لأقراص)
Show number items when screen size between 768px and 641px,إظهار عناصر الرقم عند حجم الشاشة بين 768px و641px
Number Columns On Page (Portrait tablets),عدد الأعمدة في الصفحة (أقراص صورة)
Show number items when screen size between 979px and 769px,إظهار عناصر الرقم عند حجم الشاشة بين 979px و769px
Number Columns On Page (Default),عدد الأعمدة في الصفحة (افتراضي)
Show number items when screen size between 1199px and 980px,إظهار عناصر الرقم عند حجم الشاشة بين 1199px و980px
Number Columns On Page (Large display),عدد الأعمدة في الصفحة (عرض كبيرة)
Show number items when screen size 1200px and up,إظهار عناصر الرقم عند حجم الشاشة 1200px وتصل
Autoplay,تشغيل تلقائي
Autoplay Timeout,التشغيل التلقائي مهلة
Item Per Page,البند لكل صفحة
Interval,فترة
RTL,RTL
Loop,عقدة
Show dots navigations,تظهر النقاط الملاحة
Show next/prev buttons.,تظهر أزرار / سابق المقبلة.
Nav Prev Text,نص التنقل السابق
Nav Next Text,نص التنقل التالي
Template,قالب
Seller ID,اسم المستخدم
Updated At,تم التحديث في
 ID, هوية شخصية
Seller Balance,بائع الرصيد
Delete items,حذف العناصر
Are you sure you want to delete selected items?,هل أنت متأكد أنك تريد حذف العناصر المحددة؟
Disable,تعطيل
Enable,ممكن
Active,نشيط
Add New Group,إضافة مجموعة جديدة
Bill-to Name,مشروع قانون لاسم
Seller Email,بائع البريد الإلكتروني
Is Read,غير مقروءة
Order ID,رقم التعريف الخاص بالطلب
Increment ID,الاضافة ID
Currency Code,رمز العملة
Sort Order,امر ترتيب
Product ID,معرف المنتج
Review ID,مراجعة ID
Image,صورة
Shop URL Key,متجر URL مفتاح
Product Price,سعر المنتج
Payment ID,معرف الدفع
Method Payment,طريقة الدفع
Pay Action,العمل الأجر
List Seller,قائمة البائع
Marketplace 1column,السوق 1column
Marketplace 2columns Left,السوق 2columns اليسار
AttributeSetText,AttributeSetText
StatusText,StatusText
PDF Invoices,PDF الفواتير
Category Name,اسم التصنيف
Parent Category,القسم الرئيسي
Images And Videos,الصور ومقاطع الفيديو
Minimum Qty,الحد الأدنى من الكمية
Use Deferred Stock Update,استخدام المؤجلة اسهم تحديث
Stock Status,حالة الرصيد، وضع مخزون
Delete selected items?,حذف العناصر المحددة؟
Change status,تغيير الوضع
